job_id_x,depth,seed,k,obj_val_x,time_x,job_id_y,obj_val_y,time_y,nash
15157059,5.0,17.0,9.0,6.222222222222221,5.05,15039670,6.222222222222223,6.1,6.222222222222222
15157702,6.0,29.0,15.0,6.533333333333334,6.23,15040314,6.222222222222222,6.4,6.222222222222222
15157744,7.0,11.0,2.0,8.0,3.68,15040356,8.0,4.06,6.3197492163009406
15158558,8.0,15.0,14.0,6.5,6.28,15041171,6.31974921630094,6.58,6.31974921630094
15158997,9.0,4.0,14.0,6.285714285714285,5.44,15041673,5.976284584980237,9.61,5.976284584980237
15158227,8.0,14.0,3.0,6.999999999999999,5.55,15040840,7.0,6.56,6.445012787723785
15159071,10.0,16.0,1.0,9.0,3.72,15041745,9.0,3.8,6.6607929515418505
15157672,6.0,29.0,14.0,6.5,6.2,15040284,6.222222222222222,6.49,6.222222222222222
15158681,9.0,18.0,3.0,8.0,12.45,15041356,8.0,4.5,6.857142857142858
15159006,9.0,13.0,14.0,6.857142857142854,13.29,15041682,6.531317494600431,18.73,6.531317494600431
15158639,9.0,6.0,2.0,9.0,11.43,15041314,9.0,8.93,6.653465346534654
15158261,8.0,18.0,4.0,8.0,4.68,15040874,8.0,5.71,6.857142857142858
15158673,9.0,10.0,3.0,6.999999999999999,11.96,15041348,7.0,5.37,6.319749216300941
15158281,8.0,8.0,5.0,7.2,4.39,15040894,7.0,7.16,6.72
15158832,9.0,19.0,8.0,7.0,10.22,15041508,6.3596214511041005,9.77,6.3596214511041005
15157378,6.0,5.0,5.0,7.0,4.62,15039990,6.146341463414635,6.08,6.146341463414634
15156857,5.0,25.0,2.0,8.0,3.39,15039468,8.0,11.48,6.63157894736842
15157081,5.0,9.0,10.0,7.2,3.97,15039692,6.810810810810811,4.68,6.810810810810811
15157630,6.0,17.0,13.0,6.461538461538457,14.81,15040242,6.222222222222222,6.46,6.222222222222222
15157337,6.0,24.0,3.0,8.0,4.03,15039949,8.0,4.44,6.72
15158512,8.0,29.0,12.0,6.416666666666666,9.32,15041125,6.222222222222222,16.36,6.222222222222222
15159194,10.0,19.0,5.0,7.0,4.46,15041868,6.3596214511041005,6.66,6.3596214511041005
15159123,10.0,8.0,3.0,8.0,4.31,15041797,8.0,4.44,6.72
15157086,5.0,14.0,10.0,7.0,4.57,15039697,6.445012787723785,6.25,6.445012787723785
15157585,6.0,2.0,12.0,7.5,6.15,15040197,7.322033898305085,23.7,7.322033898305085
15158000,7.0,27.0,10.0,7.2,3.93,15040612,6.8108108108108105,6.04,6.8108108108108105
15157473,6.0,10.0,8.0,6.75,5.73,15040085,6.3197492163009406,4.96,6.3197492163009406
